,0
0,-0.37442052364349365
1,1.143388271331787
2,-0.5592844486236572
3,-0.5962960124015808
4,0.3182202875614166
5,0.017382092773914337
6,-0.7227636575698853
7,0.38975292444229126
8,-1.882852554321289
9,-0.2673739492893219
10,0.5706955194473267
11,0.47942984104156494
12,-0.7306100130081177
13,-0.622067391872406
14,1.216062068939209
15,-0.7176520824432373
16,-1.1777868270874023
17,0.11069127172231674
18,-0.8704712986946106
19,0.2983161211013794
20,0.002907872200012207
21,-0.20897214114665985
22,0.7724873423576355
23,1.6112291812896729
24,2.2291364669799805
25,-0.28930729627609253
26,0.27317458391189575
27,0.14854484796524048
28,-0.17756770551204681
29,-0.45032772421836853
30,-0.9861768484115601
31,-2.2329983711242676
32,-0.40728023648262024
33,-0.06895917654037476
34,0.23049230873584747
35,-0.27631446719169617
36,-0.5073726773262024
37,0.8247656226158142
38,-1.6947153806686401
39,-0.1751004010438919
40,0.8689639568328857
41,-0.2957328259944916
42,-0.08509688079357147
43,-1.2897292375564575
44,0.5441653728485107
45,-1.404317021369934
46,-0.5225303173065186
47,0.7146161198616028
48,0.06958719342947006
49,0.5247006416320801
50,0.9999874234199524
51,1.0056713819503784
52,-0.05832699313759804
53,-0.32028642296791077
54,-0.22256042063236237
55,-0.22002853453159332
56,-0.5945051908493042
57,-0.7040723562240601
58,0.6410651803016663
59,1.8995640277862549
60,0.8372806310653687
61,-0.6439239978790283
62,-1.3335514068603516
63,-0.20838840305805206
64,-0.2815234363079071
65,1.1542423963546753
66,-0.33489882946014404
67,1.2236367464065552
68,-0.9947680830955505
69,-0.6834715008735657
70,-0.5787299275398254
71,0.02695600502192974
72,0.17384934425354004
73,-0.28750476241111755
74,-0.9951086044311523
75,-0.12621431052684784
76,0.3409038186073303
77,-0.3699421286582947
78,1.828919768333435
79,0.06649068742990494
80,-0.46479398012161255
81,-0.9705644249916077
82,-0.4987266957759857
83,0.5929819345474243
84,0.913421630859375
85,0.12191484123468399
86,-0.5815469622612
87,0.2366791069507599
88,0.06935182213783264
89,-1.3697913885116577
90,1.6026664972305298
91,-0.2950862944126129
92,-0.9663989543914795
93,0.7881385087966919
94,-0.12625083327293396
95,0.605432391166687
96,1.1405755281448364
97,-0.5869773030281067
98,0.8825563788414001
99,0.7866004109382629
100,0.5236101150512695
101,-0.22712600231170654
102,-0.6287144422531128
103,-0.62680983543396
104,0.9153443574905396
105,-1.6937389373779297
106,-0.5530852675437927
107,0.030601661652326584
108,0.03644968941807747
109,-0.3688730001449585
110,-1.013479471206665
111,1.8237782716751099
112,0.8177679181098938
113,0.10881371796131134
114,-0.7181397080421448
115,0.2288907915353775
116,-0.3746117055416107
117,0.6573899984359741
118,-0.4615061581134796
119,0.14199219644069672
120,-0.14238090813159943
121,1.1871531009674072
122,0.9144311547279358
123,-0.8791686296463013
124,-1.9328620433807373
125,-1.3933905363082886
126,-1.3327722549438477
127,1.2159732580184937
